username,tweetText,postTimeRaw,scrapeTime,tag,postTime,year,month,day
@eduzones,"#ธรรมศาสตร์ช้างเผือก ทุนเรียนฟรี มหาวิทยาลัยธรรมศาสตร์ปีการศึกษา2567

อ่านที่ : https://eduzones.com/2024/01/12/thammasat67/… 

#มธ #TCAS67 #dek67",2024-01-14 09:00:02,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-01-14 09:00:02,2025,1,14
@MEENSHI2,"ตอนเป็น66 มีรุ่นพี่มาสร้างกลุ่มให้น้องๆเข้าไปพูดคุยกันเรื่องใบสมัคร
ช่วยกันเรื่องสัมภาษณ์ ให้คำปรึกษา 
แล้วรู้สึกว่าอุ่นใจมาก ตอนนี้เลยอยากส่งต่อมาให้ 67 ครับ

เข้าได้ทั้งdek67 และdek66ที่ติดช้างเผือกนะครับ
#ธรรมศาสตร์ช้างเผือก #dek67 #dek66 #dek68",2024-01-14 07:31:53,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-01-14 07:31:53,2025,1,14
@jxmroll0lip,ถ้ารรดูคนที่คะแนนแกทกว่าเงินเดือนของครอบครัวมันแปลกมั้ยคะ เพราะรรนี้ดูคนที่คะแนนสูงส่วนใหญ่อะค่ะ  #ธรรมศาสตร์ช้างเผือก,2024-01-12 09:04:16,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-01-12 09:04:16,2025,1,12
Power Saving Mode,ช่วงนี้น้อง ม.6 เริ่ม DM มาถามเรื่องทุนธรรมศาสตร์ช้างเผือกกัน ถึงช่วงสมัครแล้วสินะ พี่ช้างเผือก'31 ยินดีช่วยเป็นที่ปรึกษาเรื่องที่ยังงง และเป็นส่วนนึงในการช่วยส่งต่อโอกาสดีๆให้น้องๆที่ต้องการทุนการศึกษานะคะ #มธช้างเผือก #ธรรมศาสตร์ช้างเผือก #tcas67,2024-01-09 16:19:11,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-01-09 16:19:11,2025,1,9
@UU2818,"มีใครสนใจพยาบาลโครงการช้างมั้งป๊ะ นอนย อยากตอบบ้าง 555 เดมมาถามได้นะ อิอิ
 #ธรรมศาสตร์ช้างเผือก",2024-01-09 11:08:00,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-01-09 11:08:00,2025,1,9
·,ส่วนใหญ่คนที่ผ่านโครงการได้ทีแก้ทกันประมานเท่าไหร่หรอคะ #tgat #dek67 #ธรรมศาสตร์ช้างเผือก,2024-01-09 05:26:12,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-01-09 05:26:12,2025,1,9
@tobeyinwar,"เธรดรีวิวโครงการธรรมศาสตร์ช้างเผือกตั้งแต่ต้นจนจบ เราติดบัญชี-บัญชีค่ะ ถ้าเพื่อนๆหกเจ้ดผ่านมาเห็นแล้วมีข้อสงสัย dmมาถามได้24/7เลยนะคะ เรายินดีตอบมากมากก

#ธรรมศาสตร์ช้างเผือก",2024-01-08 14:13:37,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-01-08 14:13:37,2025,1,8
@MEENSHI2,"น้องๆที่จะเข้านิติโควตา #ธรรมศาสตร์ช้างเผือก 
ใครมีอะไรอยากถามๆได้เลย จะตอบตามประสบการณ์ที่เจอมาครับ",2024-01-08 09:08:57,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-01-08 09:08:57,2025,1,8
@Nanaleemarkk,ตามหารุ่นพี่ที่ติดบัญชีหรือบริหาร โครงการช้างเผือกมธหน่อยค่า อยากขอดูเป็นแนวทางค่ะ  #ธรรมศาสตร์ช้างเผือก #dek67  #มธ #บัญชีมธ #บริหารมธ,2024-01-07 08:03:40,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-01-07 08:03:40,2025,1,7
@nuxxern,ตามหารุ่นพี่ที่ติดโควต้าช้างเผือกคณะศิลปศาสตร์ สาขาภาษาและวัฒนธรรมจีนค่ะ ฮือฮือออ #ธรรมศาสตร์ช้างเผือก,2024-01-06 08:59:55,2025-05-08 14:58:27.812905,ธรรมศาสตร์ช้างเผือก,2025-01-06 08:59:55,2025,1,6
